ID,Resume_str,Resume_html,Category
1,"Experienced software engineer with Python, Java, and machine learning skills. Worked on AI projects.","<p>Experienced software engineer with Python, Java, and machine learning skills. Worked on AI projects.</p>","Information-Technology"
2,"HR professional with recruitment experience, talent acquisition, and employee relations.","<p>HR professional with recruitment experience, talent acquisition, and employee relations.</p>","HR"
3,"Data scientist skilled in Python, R, SQL, and data visualization. Experience in predictive modeling.","<p>Data scientist skilled in Python, R, SQL, and data visualization. Experience in predictive modeling.</p>","Information-Technology"
4,"Marketing manager with digital marketing, SEO, and social media expertise.","<p>Marketing manager with digital marketing, SEO, and social media expertise.</p>","Business-Development"
5,"Teacher with 10 years experience in education, curriculum development, and student mentoring.","<p>Teacher with 10 years experience in education, curriculum development, and student mentoring.</p>","Teacher"
6,"Lawyer specializing in corporate law, contracts, and legal advice.","<p>Lawyer specializing in corporate law, contracts, and legal advice.</p>","Advocate"
7,"Business development executive with sales, negotiation, and client relationship skills.","<p>Business development executive with sales, negotiation, and client relationship skills.</p>","Business-Development"
8,"Healthcare professional with nursing experience and patient care.","<p>Healthcare professional with nursing experience and patient care.</p>","Healthcare"
9,"Fitness trainer with personal training, nutrition, and wellness coaching.","<p>Fitness trainer with personal training, nutrition, and wellness coaching.</p>","Fitness"
10,"BPO specialist with customer service, call center, and support skills.","<p>BPO specialist with customer service, call center, and support skills.</p>","BPO"
